CellId,Average RSRP,Average SINR (dB)
2,1.8503799999999902e-10,45.73464589607383
3,9.804126666666729e-11,42.97649212465842
4,4.0705346666666583e-10,49.159540101669535
6,2.6038810000000174e-10,47.21887109074558
7,8.314080000000003e-11,42.26007805776408
8,5.816290000000016e-11,40.708413536385436
9,1.4478499999999996e-10,44.6696302651369
10,2.4326949999999863e-10,46.92285939801958
11,1.2111599999999954e-10,43.89399840992149
12,3.4811599999999907e-10,48.479077192961185
13,4.751633599999972e-10,49.83063988085103
16,1.1324289999999931e-10,43.60213096268167
17,5.831423749999944e-11,40.72030214932127
18,9.942760000000035e-11,43.03695752231364
19,1.1105799999999948e-10,43.51819687541186
21,1.6430073333333486e-10,45.21843034908973
22,3.964690000000023e-10,49.04447133486989
23,2.348779999999994e-09,56.77076020742359
24,5.838849999999976e-11,47.926680307527874
25,1.2531099999999952e-10,44.04177660404401
26,7.858409999999981e-12,42.192438722453154
27,1.8620999999999994e-10,45.761887180202336
28,9.902269999999967e-11,43.8410815475778
29,5.85537999999997e-10,50.73947830302367
30,1.5563200000000013e-09,54.98305780318834
31,9.51997999999996e-11,49.339897210423814
32,1.1783299999999959e-09,53.77459488848732
33,9.249799999999974e-10,52.72392506343856
34,1.1150900000000021e-10,43.535865548626504
35,5.2823700000000215e-11,45.6682064310763
36,1.6655400000000043e-10,45.278347345033005
37,5.170160000000015e-11,40.19716928438042
