% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
0.081	22	1	1	0.0851407	0
0.081	23	2	1	37.6572	0
0.081	25	4	1	0.0127906	0
0.081	27	6	1	29.1873	0
0.081	29	8	1	273.201	0
0.081	30	9	1	0.370913	0
0.081	31	10	1	7.99559	0
0.081	32	11	1	1.74022	0
0.081	33	12	1	104.86	0
0.081	34	13	1	14.1212	0
0.081	35	14	1	1.10468	0
0.081	36	15	1	8.18737	0
0.081	37	16	1	1.17349	0
0.081	12	18	1	2.68892	0
0.081	3	23	1	34.5722	0
0.081	7	29	1	1.15915	0
0.081	4	36	1	2.80095	0
0.081	13	37	1	217.395	0
0.081	2	39	1	2.54061	0
0.081	9	40	1	2.5203	0
0.081	10	42	1	4.11875	0
0.081	16	43	1	0.80908	0
0.081	21	44	1	0.745688	0
0.081	17	45	1	6.38584	0
0.081	8	48	1	6.05786	0
0.081	6	51	1	23.5381	0
0.081	19	54	1	23.6159	0
0.081	11	55	1	0.284555	0
0.081	18	57	1	0.312839	0
0.082	28	7	2	430.751	0
0.082	4	19	2	76.211	0
0.082	17	28	2	33.3675	0
0.082	21	32	2	1.77873	0
0.082	13	34	2	293.676	0
0.082	10	35	2	42.5066	0
0.082	16	46	2	2.77536	0
0.082	3	50	2	195.627	0
0.082	6	56	2	69.1095	0
0.083	24	3	3	5447.43	0
0.083	7	20	3	9.42295	0
0.083	16	21	3	85.5659	0
0.083	3	22	3	238.162	0
0.083	17	27	3	5.68963	0
0.083	6	30	3	2.99525	0
0.083	13	31	3	525.701	0
0.083	4	49	3	5.4391	0
0.084	6	26	4	3141.69	0
0.084	13	41	4	1618.12	0
0.084	17	47	4	614.028	0
0.085	21	17	5	1379.66	0
0.086	6	24	6	879.874	0
0.086	13	33	6	5036.77	0
0.087	17	38	7	1650.51	0
0.088	17	53	8	4502.91	0
0.089	17	25	9	1637.37	0
0.09	17	52	10	714.18	0
0.161	22	1	1	0.0851407	0
0.161	23	2	1	37.6572	0
0.161	25	4	1	0.0127906	0
0.161	27	6	1	29.1873	0
0.161	29	8	1	273.201	0
0.161	30	9	1	0.370913	0
0.161	31	10	1	7.99559	0
0.161	32	11	1	1.74022	0
0.161	33	12	1	104.86	0
0.161	34	13	1	14.1212	0
0.161	35	14	1	1.10468	0
0.161	36	15	1	8.18737	0
0.161	37	16	1	1.17349	0
0.161	12	18	1	2.68892	0
0.161	3	23	1	34.5722	0
0.161	7	29	1	1.15915	0
0.161	4	36	1	2.80095	0
0.161	13	37	1	217.395	0
0.161	2	39	1	2.54061	0
0.161	9	40	1	2.5203	0
0.161	10	42	1	4.11875	0
0.161	16	43	1	0.80908	0
0.161	21	44	1	0.745688	0
0.161	17	45	1	6.38584	0
0.161	8	48	1	6.05786	0
0.161	6	51	1	23.5381	0
0.161	19	54	1	23.6159	0
0.161	11	55	1	0.284555	0
0.161	18	57	1	0.312839	0
0.162	28	7	2	430.751	0
0.162	4	19	2	76.211	0
0.162	17	28	2	33.3675	0
0.162	21	32	2	1.77873	0
0.162	13	34	2	293.676	0
0.162	10	35	2	42.5066	0
0.162	16	46	2	2.77536	0
0.162	3	50	2	195.627	0
0.162	6	56	2	69.1095	0
0.163	24	3	3	5447.43	0
0.163	7	20	3	9.42295	0
0.163	16	21	3	85.5659	0
0.163	3	22	3	238.162	0
0.163	17	27	3	5.68963	0
0.163	6	30	3	2.99525	0
0.163	13	31	3	525.701	0
0.163	4	49	3	5.4391	0
0.164	6	26	4	3141.69	0
0.164	13	41	4	1618.12	0
0.164	17	47	4	614.028	0
0.165	21	17	5	1379.66	0
0.166	6	24	6	879.874	0
0.166	13	33	6	5036.77	0
0.167	17	38	7	1650.51	0
0.168	17	53	8	4502.91	0
0.169	17	25	9	1637.37	0
0.17	17	52	10	714.18	0
0.241	22	1	1	0.0851407	0
0.241	23	2	1	37.6572	0
0.241	25	4	1	0.0127906	0
0.241	27	6	1	29.1873	0
0.241	29	8	1	273.201	0
0.241	30	9	1	0.370913	0
0.241	31	10	1	7.99559	0
0.241	32	11	1	1.74022	0
0.241	33	12	1	104.86	0
0.241	34	13	1	14.1212	0
0.241	35	14	1	1.10468	0
0.241	36	15	1	8.18737	0
0.241	37	16	1	1.17349	0
0.241	12	18	1	2.68892	0
0.241	3	23	1	34.5722	0
0.241	7	29	1	1.15915	0
